trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",35,5,-153.88904800800148,"{0: 15, 1: 4, 2: 9, 3: 1, 4: 1}",1
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",30,0,-113.1293495566606,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",25,0,-186.01107810685866,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",20,0,-131.36712181428067,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",20,0,-82.25877718114035,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",20,0,-59.27770179474371,"{0: 10, 1: 7, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",20,0,-282.07835566713356,"{0: 7, 1: 1, 2: 6, 3: 1, 4: 5}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",25,0,-225.4462138419841,"{0: 13, 1: 1, 2: 5, 3: 3, 4: 3}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",20,7,-27.669821424090294,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",30,8,-123.08502266090949,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 3}",1
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",20,0,-80.44200490739415,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",30,0,-158.64581710973874,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",25,0,-93.17221109516181,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
